20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
20211205|squat|60|3|20
20211205|bench|50|4|10
